order_id,date,region,product,sales_channel,customer_segment,units_sold,unit_price,discount_pct,revenue,cost,profit
ORD-0054,2026-02-23,South,Tablet,Partner,Corporate,58,499.00,5,27494.90,17944.04,9550.86
ORD-0055,2026-02-24,East,Webcam,Online,Home Office,65,89.00,10,5206.50,3586.70,1619.80
ORD-0056,2026-02-25,West,Smartphone,Retail,Small Business,72,899.00,15,55018.80,40131.36,14887.44
ORD-0057,2026-02-26,North,Laptop,Partner,Consumer,14,1099.00,0,15386.00,9539.32,5846.68
ORD-0058,2026-02-27,South,Headphones,Online,Corporate,21,129.00,5,2573.55,1679.58,893.97
ORD-0059,2026-02-28,East,Monitor,Retail,Home Office,28,299.00,10,7534.80,5190.64,2344.16
ORD-0060,2026-03-01,West,Keyboard,Partner,Small Business,35,79.00,15,2350.25,1714.30,635.95
ORD-0061,2026-03-02,North,Mouse,Online,Consumer,42,39.00,0,1638.00,1015.56,622.44
ORD-0062,2026-03-03,South,Tablet,Retail,Corporate,49,499.00,5,23228.45,15159.62,8068.83
ORD-0063,2026-03-04,East,Webcam,Partner,Home Office,56,89.00,10,4485.60,3090.08,1395.52
ORD-0064,2026-03-05,West,Smartphone,Online,Small Business,63,899.00,15,48141.45,35114.94,13026.51
ORD-0065,2026-03-06,North,Laptop,Retail,Consumer,70,1099.00,0,76930.00,47696.60,29233.40
ORD-0066,2026-03-07,South,Headphones,Partner,Corporate,12,129.00,5,1470.60,959.76,510.84
ORD-0067,2026-03-08,East,Monitor,Online,Home Office,19,299.00,10,5112.90,3522.22,1590.68
ORD-0068,2026-03-09,West,Keyboard,Retail,Small Business,26,79.00,15,1745.90,1273.48,472.42
ORD-0069,2026-03-10,North,Mouse,Partner,Consumer,33,39.00,0,1287.00,797.94,489.06
ORD-0070,2026-03-11,South,Tablet,Online,Corporate,40,499.00,5,18962.00,12375.20,6586.80
ORD-0071,2026-03-12,East,Webcam,Retail,Home Office,47,89.00,10,3764.70,2593.46,1171.24
ORD-0072,2026-03-13,West,Smartphone,Partner,Small Business,54,899.00,15,41264.10,30098.52,11165.58
ORD-0073,2026-03-14,North,Laptop,Online,Consumer,61,1099.00,0,67039.00,41564.18,25474.82
ORD-0074,2026-03-15,South,Headphones,Retail,Corporate,68,129.00,5,8333.40,5438.64,2894.76
ORD-0075,2026-03-16,East,Monitor,Partner,Home Office,75,299.00,10,20182.50,13903.50,6279.00
ORD-0076,2026-03-17,West,Keyboard,Online,Small Business,17,79.00,15,1141.55,832.66,308.89
ORD-0077,2026-03-18,North,Mouse,Retail,Consumer,24,39.00,0,936.00,580.32,355.68
ORD-0078,2026-03-19,South,Tablet,Partner,Corporate,31,499.00,5,14695.55,9590.78,5104.77
ORD-0079,2026-03-20,East,Webcam,Online,Home Office,38,89.00,10,3043.80,2096.84,946.96
ORD-0080,2026-03-21,West,Smartphone,Retail,Small Business,45,899.00,15,34386.75,25082.10,9304.65
ORD-0081,2026-03-22,North,Laptop,Partner,Consumer,52,1099.00,0,57148.00,35431.76,21716.24
ORD-0082,2026-03-23,South,Headphones,Online,Corporate,59,129.00,5,7230.45,4718.82,2511.63
ORD-0083,2026-03-24,East,Monitor,Retail,Home Office,66,299.00,10,17760.60,12235.08,5525.52
ORD-0084,2026-03-25,West,Keyboard,Partner,Small Business,73,79.00,15,4901.95,3575.54,1326.41
ORD-0085,2026-03-26,North,Mouse,Online,Consumer,15,39.00,0,585.00,362.70,222.30
ORD-0086,2026-03-27,South,Tablet,Retail,Corporate,22,499.00,5,10429.10,6806.36,3622.74
ORD-0087,2026-03-28,East,Webcam,Partner,Home Office,29,89.00,10,2322.90,1600.22,722.68
ORD-0088,2026-03-29,West,Smartphone,Online,Small Business,36,899.00,15,27509.40,20065.68,7443.72
ORD-0089,2026-03-30,North,Laptop,Retail,Consumer,43,1099.00,0,47257.00,29299.34,17957.66
ORD-0090,2026-03-31,South,Headphones,Partner,Corporate,50,129.00,5,6127.50,3999.00,2128.50
ORD-0091,2026-04-01,East,Monitor,Online,Home Office,57,299.00,10,15338.70,10566.66,4772.04
ORD-0092,2026-04-02,West,Keyboard,Retail,Small Business,64,79.00,15,4297.60,3134.72,1162.88
ORD-0093,2026-04-03,North,Mouse,Partner,Consumer,71,39.00,0,2769.00,1716.78,1052.22
ORD-0094,2026-04-04,South,Tablet,Online,Corporate,13,499.00,5,6162.65,4021.94,2140.71
ORD-0095,2026-04-05,East,Webcam,Retail,Home Office,20,89.00,10,1602.00,1103.60,498.40
ORD-0096,2026-04-06,West,Smartphone,Partner,Small Business,27,899.00,15,20632.05,15049.26,5582.79
ORD-0097,2026-04-07,North,Laptop,Online,Consumer,34,1099.00,0,37366.00,23166.92,14199.08
ORD-0098,2026-04-08,South,Headphones,Retail,Corporate,41,129.00,5,5024.55,3279.18,1745.37
ORD-0099,2026-04-09,East,Monitor,Partner,Home Office,48,299.00,10,12916.80,8898.24,4018.56
ORD-0100,2026-04-10,West,Keyboard,Online,Small Business,55,79.00,15,3693.25,2693.90,999.35
